                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                      50                                      681                  1.5000000000000000E+000                  2.0000000000000000E-002                  4.5497190750010669E-001                  7.5836984583351114E-002                  4.8145687374410982E+003                  4.7783896108214057E+000                  3.1418044943694512E+000                 -5.0680388186479828E+000                  6.9999999999999996E-001                  2.9797635251395604E-005                  2.7997020236474884E-001                  3.4468833607861366E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750366E-003                  1.5000000000000000E+000                  0.0000000000000000E+000                  1.0500000000000005E+000                  4.4696452876737129E-005                  4.1995530354712329E-001                  5.1703250411792075E-003                  1.5155141114004105E-003                  1.4070791467724317E-002                  3.1275366358125556E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5507204930240419E+004                  3.5294148789523323E+006                  3.1391328923933220E+009                  2.2824470026447780E-006                  2.2824470026447784E-006                  0.0000000000000000E+000                  9.1320916235349495E-008                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.4357821468125368E+007                               "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231214"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.5000000000000000E+000                  4.9717915662431234E-001                  3.6825799782345063E+000                 -7.0902907697498927E+000                  4.3959097973942018E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.1917234442711830E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.4999999999984999E+000                  4.9717903510114436E-001                  3.6826308067443052E+000                 -7.0899354741326270E+000                  4.3963160628836633E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.1926990577176073E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.4999999999966251E+000                  4.9717888332126103E-001                  3.6826873108948117E+000                 -7.0895411744204102E+000                  4.3967670243281827E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.1937827084816930E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.4999999999947500E+000                  4.9717873167895704E-001                  3.6827721057926723E+000                 -7.0889506402218370E+000                  4.3974425906489536E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.1954075109587755E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.4999999999909999E+000                  4.9717842880598889E-001                  3.6829418554191151E+000                 -7.0877728756189038E+000                  4.3987905825655398E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.1986546331347568E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.4999999999834999E+000                  4.9717782469865629E-001                  3.6833386544402424E+000                 -7.0850416492274819E+000                  4.4019197381039739E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2062186713782823E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.4999999999647500E+000                  4.9717632388751204E-001                  3.6839083363147558E+000                 -7.0811814610676747E+000                  4.4063512694528990E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2169908184296204E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.4999999999460001E+000                  4.9717483634173054E-001                  3.6847665877326845E+000                 -7.0754785445114363E+000                  4.4129150061610316E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2330815594678649E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.4999999999084999E+000                  4.9717190001718853E-001                  3.6864981939023607E+000                 -7.0643780567798338E+000                  4.4257525102417912E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.2650142134894425E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
